"Measure_code","Topic","Measure","Chart_title","Measure_short","Polarity","y_axis_name","state_funded_flag","Table_status","Description","Last Update","Next Update","Data Owner (DO) /Supplier and Contact Details","Methodology","Hyperlink(s)","dps","Year_Type","No_Quartile"
"361","Key Stage 4","Average Progress 8 score per pupil - Mixed","Average Progress 8 score per pupil - Mixed","AVG_Prog8_Score_Mixed","High","Score per pupil","State Funded","yyyy_la_char_data_****","GCSE results of pupils at the end of Key stage 4 (KS4) attending state-funded schools in England by pupil characteristic.

Pupil characteristics are obtained from the school census. They include disadvantage, eligibility for free school meals, special education needs provision, English as an additional language, and ethnicity.

","45689","46296","DfE","Attainment 8 - Attainment 8 measures the average achievement of pupils in up to 8 qualifications. This includes: English language; English literature (double weighted providing both English language and English literature are taken); maths (double weighted); three further qualifications that count in the English Baccalaureate (EBacc); and three further qualifications that can be GCSE qualifications (including EBacc subjects) or any other non-GCSE qualifications on the DfE approved list (opens in a new tab).   From 2018, Attainment 8 has had a maximum point score of 90, compared to a maximum of 87 in 2017 and 80 in 2016. This is a consequence of the phased introduction of reformed GCSEs graded on the 9-1 scale. These differences should be considered when comparing Attainment 8 scores between 2016-2019.

Progress 8 (none during COVID) - Progress 8 aims to capture the progress a pupil makes from the end of Key Stage 2 (KS2) to the end of KS4. It compares pupils’ achievement – their Attainment 8 score (see below) – with the national average Attainment 8 score of all pupils who had a similar starting point (or ‘prior attainment’), calculated using assessment results from the end of primary school. Progress 8 is a relative measure, therefore the national average Progress 8 score for mainstream schools is very close to zero. It can be used to compare the progress of different pupil characteristics and geography breakdowns.

Attainment in English and maths (9-5) This measure looks at the percentage of pupils achieving grade 5 or above in both English and maths GCSEs. To count for this measure a pupil would have to achieve a grade 5 or above in either English literature or English language. There is no requirement to sit both.

EBacc average point score (EBacc APS) - The EBacc APS measures pupils’ point scores across the five pillars of the EBacc - English, maths, science, a language, and history or geography – with a zero for any missing pillars. The average point score takes into account the attainment of all pupils, not just those at particular grade boundaries, which is why it is used to encourage schools to enter pupils of all abilities.  For more information on these measures and their calculation methodology, see the secondary accountability guidance.

For comparison purposes, the England figures since 2018-19 are taken from the LA level tables (All state funded (LA))","https://www.gov.uk/government/collections/statistics-gcses-key-stage-4",2,"Academic Year",NA
"361","Key Stage 4","Average Progress 8 score per pupil - Asian","Average Progress 8 score per pupil - Asian","AVG_Prog8_Score_Asian","High","Score per pupil","State Funded","yyyy_la_char_data_****","GCSE results of pupils at the end of Key stage 4 (KS4) attending state-funded schools in England by pupil characteristic.

Pupil characteristics are obtained from the school census. They include disadvantage, eligibility for free school meals, special education needs provision, English as an additional language, and ethnicity.

","45689","46296","DfE","Attainment 8 - Attainment 8 measures the average achievement of pupils in up to 8 qualifications. This includes: English language; English literature (double weighted providing both English language and English literature are taken); maths (double weighted); three further qualifications that count in the English Baccalaureate (EBacc); and three further qualifications that can be GCSE qualifications (including EBacc subjects) or any other non-GCSE qualifications on the DfE approved list (opens in a new tab).   From 2018, Attainment 8 has had a maximum point score of 90, compared to a maximum of 87 in 2017 and 80 in 2016. This is a consequence of the phased introduction of reformed GCSEs graded on the 9-1 scale. These differences should be considered when comparing Attainment 8 scores between 2016-2019.

Progress 8 (none during COVID) - Progress 8 aims to capture the progress a pupil makes from the end of Key Stage 2 (KS2) to the end of KS4. It compares pupils’ achievement – their Attainment 8 score (see below) – with the national average Attainment 8 score of all pupils who had a similar starting point (or ‘prior attainment’), calculated using assessment results from the end of primary school. Progress 8 is a relative measure, therefore the national average Progress 8 score for mainstream schools is very close to zero. It can be used to compare the progress of different pupil characteristics and geography breakdowns.

Attainment in English and maths (9-5) This measure looks at the percentage of pupils achieving grade 5 or above in both English and maths GCSEs. To count for this measure a pupil would have to achieve a grade 5 or above in either English literature or English language. There is no requirement to sit both.

EBacc average point score (EBacc APS) - The EBacc APS measures pupils’ point scores across the five pillars of the EBacc - English, maths, science, a language, and history or geography – with a zero for any missing pillars. The average point score takes into account the attainment of all pupils, not just those at particular grade boundaries, which is why it is used to encourage schools to enter pupils of all abilities.  For more information on these measures and their calculation methodology, see the secondary accountability guidance.

For comparison purposes, the England figures since 2018-19 are taken from the LA level tables (All state funded (LA))","https://www.gov.uk/government/collections/statistics-gcses-key-stage-4",2,"Academic Year",NA
"361","Key Stage 4","Average Progress 8 score per pupil - Black","Average Progress 8 score per pupil - Black","AVG_Prog8_Score_Black","High","Score per pupil","State Funded","yyyy_la_char_data_****","GCSE results of pupils at the end of Key stage 4 (KS4) attending state-funded schools in England by pupil characteristic.

Pupil characteristics are obtained from the school census. They include disadvantage, eligibility for free school meals, special education needs provision, English as an additional language, and ethnicity.

","45689","46296","DfE","Attainment 8 - Attainment 8 measures the average achievement of pupils in up to 8 qualifications. This includes: English language; English literature (double weighted providing both English language and English literature are taken); maths (double weighted); three further qualifications that count in the English Baccalaureate (EBacc); and three further qualifications that can be GCSE qualifications (including EBacc subjects) or any other non-GCSE qualifications on the DfE approved list (opens in a new tab).   From 2018, Attainment 8 has had a maximum point score of 90, compared to a maximum of 87 in 2017 and 80 in 2016. This is a consequence of the phased introduction of reformed GCSEs graded on the 9-1 scale. These differences should be considered when comparing Attainment 8 scores between 2016-2019.

Progress 8 (none during COVID) - Progress 8 aims to capture the progress a pupil makes from the end of Key Stage 2 (KS2) to the end of KS4. It compares pupils’ achievement – their Attainment 8 score (see below) – with the national average Attainment 8 score of all pupils who had a similar starting point (or ‘prior attainment’), calculated using assessment results from the end of primary school. Progress 8 is a relative measure, therefore the national average Progress 8 score for mainstream schools is very close to zero. It can be used to compare the progress of different pupil characteristics and geography breakdowns.

Attainment in English and maths (9-5) This measure looks at the percentage of pupils achieving grade 5 or above in both English and maths GCSEs. To count for this measure a pupil would have to achieve a grade 5 or above in either English literature or English language. There is no requirement to sit both.

EBacc average point score (EBacc APS) - The EBacc APS measures pupils’ point scores across the five pillars of the EBacc - English, maths, science, a language, and history or geography – with a zero for any missing pillars. The average point score takes into account the attainment of all pupils, not just those at particular grade boundaries, which is why it is used to encourage schools to enter pupils of all abilities.  For more information on these measures and their calculation methodology, see the secondary accountability guidance.

For comparison purposes, the England figures since 2018-19 are taken from the LA level tables (All state funded (LA))","https://www.gov.uk/government/collections/statistics-gcses-key-stage-4",2,"Academic Year",NA
"361","Key Stage 4","Average Progress 8 score per pupil - Chinese","Average Progress 8 score per pupil - Chinese","AVG_Prog8_Score_Chine","High","Score per pupil","State Funded","yyyy_la_char_data_****","GCSE results of pupils at the end of Key stage 4 (KS4) attending state-funded schools in England by pupil characteristic.

Pupil characteristics are obtained from the school census. They include disadvantage, eligibility for free school meals, special education needs provision, English as an additional language, and ethnicity.

","45689","46296","DfE","Attainment 8 - Attainment 8 measures the average achievement of pupils in up to 8 qualifications. This includes: English language; English literature (double weighted providing both English language and English literature are taken); maths (double weighted); three further qualifications that count in the English Baccalaureate (EBacc); and three further qualifications that can be GCSE qualifications (including EBacc subjects) or any other non-GCSE qualifications on the DfE approved list (opens in a new tab).   From 2018, Attainment 8 has had a maximum point score of 90, compared to a maximum of 87 in 2017 and 80 in 2016. This is a consequence of the phased introduction of reformed GCSEs graded on the 9-1 scale. These differences should be considered when comparing Attainment 8 scores between 2016-2019.

Progress 8 (none during COVID) - Progress 8 aims to capture the progress a pupil makes from the end of Key Stage 2 (KS2) to the end of KS4. It compares pupils’ achievement – their Attainment 8 score (see below) – with the national average Attainment 8 score of all pupils who had a similar starting point (or ‘prior attainment’), calculated using assessment results from the end of primary school. Progress 8 is a relative measure, therefore the national average Progress 8 score for mainstream schools is very close to zero. It can be used to compare the progress of different pupil characteristics and geography breakdowns.

Attainment in English and maths (9-5) This measure looks at the percentage of pupils achieving grade 5 or above in both English and maths GCSEs. To count for this measure a pupil would have to achieve a grade 5 or above in either English literature or English language. There is no requirement to sit both.

EBacc average point score (EBacc APS) - The EBacc APS measures pupils’ point scores across the five pillars of the EBacc - English, maths, science, a language, and history or geography – with a zero for any missing pillars. The average point score takes into account the attainment of all pupils, not just those at particular grade boundaries, which is why it is used to encourage schools to enter pupils of all abilities.  For more information on these measures and their calculation methodology, see the secondary accountability guidance.

For comparison purposes, the England figures since 2018-19 are taken from the LA level tables (All state funded (LA))","https://www.gov.uk/government/collections/statistics-gcses-key-stage-4",2,"Academic Year",NA
"348","Key Stage 4","% KS4 All Pupils going to, or remaining in education","KS4 cohort going to, or remaining in, any education destination (%)","SusEd_All","High","% KS4 in Education","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 All Pupils going to, or remaining in education & employment/training","KS4 cohort going to, or remaining in education & employment/training (%)","SusEdOverall_All","High","% KS4 All pupils in Education/training","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 going to or remaining in education/employment - FE college","KS4 cohort going to, or remaining in, an education or employment destination - Further education college (%)","KS4_DES_FEColl","High","% attending","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 going to or remaining in education/employment - 6 Form School","KS4 cohort going to, or remaining in, an education or employment destination - 6 Form School (%)","KS4_DES_6FormSchl","High","% attending","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 going to or remaining in education/employment - 6 Form College","KS4 cohort going to, or remaining in, an education or employment destination - 6 Form College (%)","KS4_DES_6FormColl","High","% attending","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 going to or remaining in education/employment - Apprenticeships","KS4 cohort going to, or remaining in, an education or employment destination - Apprenticeships (%)","KS4_DES_Apprentice","High","% attending","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"348","Key Stage 4","% KS4 Destination not sustained","KS4 cohort going to, or remaining in, an education or employment destination  - Destination not sustained (%)","KS4_DES_NotSus","Low","% not sustained","State Funded","ks4_dm_ud_yyyyyy_la","Presents the percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4  study (after year 11) from state-funded mainstream schools.

","45689","46296","DfE","Overall going to a sustained education, apprenticeship or employment destination  - Overall going to a sustained education, apprenticeship or employment destination  

Some pupils do not sustain their destination for at least two terms, these students are recorded as “Not recorded as a sustained destination”.

Activity not captured  - These young people may have been attending an independent school missing from our data, a Scottish or Welsh college or school, have left the country, been in custody or their whereabouts not known.  

For further detail on exactly which students are included in each of these categories, see SFR technical note.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures",NA,"Academic Year",NA
"349","Key Stage 5","A levels 3+ A grades / Double awards","Pupils achieving 3+ A grades at GCE/Applied GCE A Level and Double Awards (%)","A3A","High","% achieving expected level","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",1,"Academic Year",NA
"349","Key Stage 5","A levels AAB grades / Applied / Double awards","Pupils achieving grades AAB or better at GCE A level, Applied GCE A level and Double Award A level (%)","Alevel_AAB","High","% achieving expected level","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",1,"Academic Year",NA
"349","Key Stage 5","% of students achieving grades AAB or better at A level, at least two facilitating subjects","Pupils achieving grades AAB or better at A level, of which at least two are in facilitating subjects (%)","Alevel_2FacilSubs","High","% achieving expected level","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",1,"Academic Year",NA
"349","Key Stage 5","A level cohort Average point score per entry","Average point score per entry A Level Cohort","APSE_Alevel","High","Average Point Score","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",2,"Academic Year",NA
"349","Key Stage 5","Tech Level - Average point score per entry","Average point score per entry - Tech Level","APSE_Tech","High","Average Point Score","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",2,"Academic Year",NA
"349","Key Stage 5","Applied General studies - Average point score per entry","Average point score per entry - Applied General Studies","APSE_GenS","High","Average Point Score","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",2,"Academic Year",NA
"349","Key Stage 5","APS per entry, best 3 A levels","Average point score per entry - Best 3 A Levels","APSE_Best_3ALevels","High","Average Point Score","State Funded","aggregated_attainment_by_region_characteristic_yyyyyy","Advanced level qualifications (known as A levels) are subject-based qualifications that can lead to university, further study, training, or work. 

 A-levels are a Level 3 qualification. Students taking A-level will usually study three or four subjects over two years. Exams at the end of this period are used to determine final grades. Those grades are from A*-E.","45689","45962","DfE","The entries and awards for qualifications at key stage 4 and 16-18 are submitted by awarding organisations to an external contractor, who processes the data and completes a set of quality checks on behalf of the department. This includes checks to ensure coverage is as expected and the data does not contain inaccurate or missing values. 

Once the latest entries and results data has been submitted to the contractor in August, data is matched to students’ characteristics and students’ prior attainment information, to calculate performance measures for each student. These student level performance measures are then aggregated to give the overall results for England, with some measures broken down also by region and local authority. Several performance measures and other derived variables are added during this process. This data is then usually used to produce the provisional statistical publication. 

Unlike 2021/22 and 2022/23, data for 2023/24 is not impacted by excluding results of qualifications awarded between January 2020 and August 2021, as this precedes when students reported in 2023/24 data started their 16-18 study.

However, note that where students have taken three years to complete 16-18 study, and have also entered a qualification during their first year – the 2021/22 academic year – will reflect interim Ofqual grading standards (i.e. grading for 2022 exams aimed to broadly reflect a midpoint between results in 2019 and 2021).

Where time series data is presented, comparisons are made to revised data for previous years (with the exception of 2019/20 and 2020/21 where no checking exercise took place; those data are labelled ‘final’ reflecting the opportunity students unhappy with grades awarded through the CAG and TAG awarding processes had to sit an exam in autumn.

Typically, the data is checked with schools and colleges during the 16-18 performance tables checking exercise, which runs between September and October, allowing schools and colleges to request amendments to their data. This could include adding any missing results, supplying information on grade amendments following successful reviews of results, or deferring students who are not yet at the end of 16-18 study. 
","https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results",2,"Academic Year",NA
